survey,variable,concept,year,quarter,target_year,target_period,horizon_class,horizon_years,horizon_quarters,bin_scheme,n,mean,median,within_sd,disagreement,total_sd,share_between,q05,q10,q25,q50,q75,q90,q95,iqr
ecb,hicp,hicp_yoy,1999,1,1999,1999,current_year,0.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,64,1.0079162324096977,1.062851678857465,0.3738303289390051,0.22976270406527965,0.438793818340726,0.27418144833707114,0.1908134421777246,0.5103752536638028,0.6948826418897258,1.0712148306700087,1.2850870592534755,1.562653397455858,1.7624956890477312,0.5902044173637497
ecb,hicp,hicp_yoy,1999,1,2000,2000,next_year,1.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,64,1.326731360308139,1.4,0.44086702325649896,0.3304147657966339,0.5509425102962112,0.3596717493918574,0.3409776329972525,0.6025480621006687,1.0282173557620808,1.3148194677354905,1.7137065153830888,1.8961558996242098,2.23685244372011,0.685489159621008
ecb,hicp,hicp_yoy,1999,1,2003,2003,longer_term,4.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,59,1.8035029946965675,1.75692921235,0.5243931174889777,0.3910648881379718,0.6541558594128566,0.35738405920951116,0.6679212728530765,1.050509738108653,1.3901818664562264,1.7822801654149494,2.226114634295175,2.6420950182656564,2.836576099398353,0.8359327678389485
ecb,hicp,hicp_yoy,1999,1,,1999Dec,rolling_1y,1.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,57,1.1155995842001685,1.15,0.396883480443976,0.32013226611725526,0.5099030935959233,0.3941700332960744,0.19034313886502996,0.5116637433612587,0.7417147927468838,1.1456698882184633,1.3937564239503264,1.7763165505484584,1.8724545649174535,0.6520416312034426
ecb,hicp,hicp_yoy,1999,1,,2000Dec,rolling_2y,2.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,56,1.4251671228165164,1.5,0.44937512714502714,0.37157388041768397,0.5830996085620918,0.4060736938404009,0.5046335037349964,0.6449785010529305,1.076937766238684,1.5019092864470356,1.7910858071002227,2.1773192587637697,2.336090589507961,0.7141480408615386
ecb,hicp,hicp_yoy,1999,1,,2003Dec,longer_term,5.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,46,1.8243636556544967,1.8625000000000003,0.5114072304724422,0.4296028141942932,0.6679041348450764,0.4137194808760755,0.6159620736384149,1.0434211453432982,1.5087876054661176,1.8105064340756725,2.251654480329586,2.66639764069992,2.8459313544455584,0.7428668748634686
ecb,hicp,hicp_yoy,1999,2,1999,1999,current_year,0.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,59,1.1387191807874513,1.1500000000000001,0.33767515621298366,0.15894164235386235,0.37321167827066454,0.1813697869130076,0.5433742789886216,0.6253825350645182,0.8714073032922085,1.1600837962706212,1.3321671847026257,1.652064994441314,1.7998341370166968,0.46075988141041724
ecb,hicp,hicp_yoy,1999,2,2000,2000,next_year,1.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,59,1.4301686936999334,1.475,0.40867140159013443,0.2661945130206008,0.48772106089435974,0.29788948862560466,0.6019953987921067,0.7689180270269761,1.1172795302636662,1.382053042162815,1.7548134139611062,2.068773455311445,2.2685665953125245,0.63753388369744
ecb,hicp,hicp_yoy,1999,2,,2000Mar,rolling_1y,1.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,54,1.4018260387290735,1.3795,0.3879198655327049,0.2848481054513887,0.48126943104061504,0.3503080487806717,0.5970915050282493,0.7540824962718442,1.1025864391662632,1.3503156463186938,1.728970867805692,2.003429366259318,2.2432505486602823,0.6263844286394289
ecb,hicp,hicp_yoy,1999,2,,2001Mar,rolling_2y,2.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,53,1.570702971665823,1.5499999999999998,0.4552967488280786,0.3210105981641547,0.5570843146482648,0.33204495082049795,0.6260624515795468,0.8716162282555132,1.1956381255933626,1.6030403045933925,1.862330152059191,2.2685075916274866,2.3866058015761853,0.6666920264658285
ecb,hicp,hicp_yoy,1999,3,1999,1999,current_year,0.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,51,1.1783064647641235,1.2,0.29508095495452863,0.16989671438022136,0.3404962019378059,0.248969081119285,0.5794775252085618,0.6764252071501504,1.0225068789595935,1.184692579224928,1.3468782794902627,1.6748999297140208,1.8032840002193318,0.32437140053066926
ecb,hicp,hicp_yoy,1999,3,2000,2000,next_year,1.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,50,1.46494125096526,1.504761904762,0.39389279218691875,0.2539887487867144,0.46868093224180546,0.29368001053805226,0.6520096419783695,0.8563269756351346,1.1472493559261396,1.511229802996127,1.7694361550880229,2.0879034281153857,2.274251990262874,0.6221867991618832
ecb,hicp,hicp_yoy,1999,3,,2000Jun,rolling_1y,1.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,46,1.4560516809277682,1.5,0.3910679703803914,0.26630159285640237,0.47312862502209246,0.3168028497725641,0.6355161647559532,0.8282696371838469,1.1404722631714375,1.5075102962868092,1.7666253547174067,2.079856163394479,2.2671610372018574,0.6261530915459692
ecb,hicp,hicp_yoy,1999,3,,2001Jun,rolling_2y,2.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,45,1.5962157262557162,1.644444444444,0.4799267207826515,0.27058114847486414,0.5509481057514996,0.2411979893387708,0.6493690507232427,1.0148978837271199,1.2411519926714567,1.6331550163412913,1.863227180272191,2.2646644647531238,2.3849204898942684,0.6220751876007342
ecb,hicp,hicp_yoy,1999,4,1999,1999,current_year,0.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,54,1.2000599971187131,1.2,0.18163784198945526,0.09470246070407366,0.20484350540349805,0.21373622225030972,0.7488728905717432,1.0096105454627113,1.0809363889312726,1.1998127947122084,1.318689200493144,1.3900150439617054,1.6503645628094161,0.23775281156187145
ecb,hicp,hicp_yoy,1999,4,2000,2000,next_year,1.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,54,1.5382054312048945,1.5625,0.3716864163103685,0.18504024255065793,0.41519957060773904,0.19861799188552637,0.7989726288931075,1.0460664822023171,1.2367413463956123,1.5954463510915073,1.7917285383936825,2.04933317475109,2.2532366404110227,0.5549871919980702
ecb,hicp,hicp_yoy,1999,4,,2000Sep,rolling_1y,1.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,51,1.5214889056968417,1.5471471471694291,0.41252408941231467,0.23459962093149622,0.47456622982115054,0.24437734996769134,0.6773366627731154,1.0102039828545768,1.1979441563737856,1.5785867653807266,1.8004275756064594,2.1309450434414368,2.3042058155089915,0.6024834192326738
ecb,hicp,hicp_yoy,1999,4,,2001Sep,rolling_2y,2.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,49,1.6803991726943412,1.6749999999999998,0.46824959227565055,0.29144204345095576,0.5515397948989553,0.2792226857152826,0.726926354686686,1.04716945370268,1.328304577580406,1.6833459079957882,1.8998142245680014,2.3346485239172905,2.660501187178374,0.5715096469875953
ecb,hicp,hicp_yoy,2000,1,2000,2000,current_year,0.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,58,1.7541788143449957,1.732,0.3484300039181682,0.19883646692881762,0.4011725416963996,0.2456573005964106,1.0753087839065076,1.227409120474181,1.562693203696848,1.7307460218468453,1.8987988399968425,2.2840404921258064,2.379862133836557,0.33610563629999457
ecb,hicp,hicp_yoy,2000,1,2001,2001,next_year,1.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,57,1.70539458166206,1.725,0.4066124979801198,0.2650058297314493,0.4853471060027935,0.2981301969374751,1.0010743026171114,1.105098927008413,1.5065124204547675,1.703758089330291,2.002561161857869,2.3045331392687327,2.5245579890898577,0.4960487414031014
ecb,hicp,hicp_yoy,2000,1,2004,2004,longer_term,4.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,46,1.7657716805293577,1.7,0.5051002299667374,0.3125941236229313,0.594004485198588,0.27693775714060537,0.7629472008188656,1.079326765082324,1.5022512108584511,1.74970771114418,2.157941626518892,2.3992877862167616,2.750219304546769,0.6556904156604408
ecb,hicp,hicp_yoy,2000,1,,2000Dec,rolling_1y,1.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,54,1.663559487128403,1.7,0.3855165856326454,0.2624829509222044,0.4663907560433431,0.31673957650508083,0.865292964004091,1.0840982062538114,1.3570786650413158,1.679448633078095,1.8775897740002858,2.2627661917288036,2.3707010665247013,0.52051110895897
ecb,hicp,hicp_yoy,2000,1,,2001Dec,rolling_2y,2.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,52,1.715073347992883,1.7000000000000002,0.44464597512330084,0.22682305700000735,0.49915803347254634,0.20648964068186468,1.0048812107139216,1.1081985968209924,1.5069727987737698,1.70542496715803,2.010026642981083,2.317956404967468,2.5887670484510625,0.5030538442073131
ecb,hicp,hicp_yoy,2000,1,,2004Dec,longer_term,5.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,37,1.7498378378378379,1.7,0.5008220809396853,0.35202813283359374,0.6121654703289487,0.33068697226571286,0.6851767388825541,1.0549304295220812,1.390683605565638,1.7426246999199786,2.149386845039019,2.3968784838350055,2.751590106007067,0.758703239473381
ecb,hicp,hicp_yoy,2000,2,2000,2000,current_year,0.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,59,1.8477353971736346,1.825,0.32598960187715836,0.16602059857954987,0.36583064344685545,0.20595094492037316,1.194293962771968,1.5061815307597044,1.6149977287802502,1.796358058814493,2.1342584787643553,2.32223840767917,2.3848983839841082,0.5192607499841051
ecb,hicp,hicp_yoy,2000,2,2001,2001,next_year,1.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,58,1.7652418470041764,1.7625000000000002,0.4061927946726191,0.2463262703508866,0.47504654288704234,0.2688742045867519,1.0353577689378648,1.1566114257383564,1.539381792207997,1.7377323472235198,2.0782687004024294,2.3364182261082775,2.603062449980595,0.5388869081944323
ecb,hicp,hicp_yoy,2000,2,,2001Mar,rolling_1y,1.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,53,1.7134927300830187,1.7410000000000003,0.3981301441785475,0.24396536966409502,0.46693330712101655,0.27298995015222216,0.8807016206351923,1.1078506926143208,1.516118812644117,1.7147778582822168,2.030163833775046,2.2977396890199273,2.3869316407682213,0.5140450211309289
ecb,hicp,hicp_yoy,2000,2,,2002Mar,rolling_2y,2.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,51,1.7352720006098044,1.7500000000000002,0.4679056815656162,0.2679536312185936,0.539198363614555,0.24695746735944302,0.8412736711708935,1.0893529893610978,1.3958325781685028,1.7210353319875964,2.0848591076502268,2.3433915564092804,2.6453803853045854,0.6890265294817239
ecb,hicp,hicp_yoy,2000,3,2000,2000,current_year,0.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,51,2.0614617416637255,2.0681318681500005,0.30225154369331164,0.14936471012894878,0.33714360782446223,0.1962755219100684,1.5306368053781236,1.595710860246205,1.7909330248504483,2.114196344953797,2.2859741043559034,2.3890407599971675,2.6682242772561056,0.4950410795054552
ecb,hicp,hicp_yoy,2000,3,2001,2001,next_year,1.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,50,1.85262219713179,1.85,0.39398124039044896,0.2122987599387809,0.4475399214049411,0.22502530151235095,1.0990801011709719,1.2751783391050742,1.594557953729522,1.8009098886906605,2.169339287656594,2.3648057927925596,2.6473246716792227,0.574781333927072
ecb,hicp,hicp_yoy,2000,3,2002,2002,year_after_next,2.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,42,1.82722767683863,1.85,0.46513179928610193,0.26411447965512724,0.5348869498039985,0.2438149987394241,1.0088601823814072,1.1480487425287342,1.5560778935252708,1.791727697324598,2.1864953619245164,2.393506466990428,2.738127069314687,0.6304174683992456
ecb,hicp,hicp_yoy,2000,3,,2001Jun,rolling_1y,1.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,48,1.8359867746835734,1.85,0.3964067659685555,0.2426778096459136,0.464791182575775,0.2726116251161531,1.064669669891249,1.2273696036957265,1.5814220787625293,1.7913848613706023,2.1647160546252695,2.3694622518429687,2.6636454593125087,0.5832939758627402
ecb,hicp,hicp_yoy,2000,3,,2002Jun,rolling_2y,2.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,42,1.8205607346154757,1.8375,0.46277302732043796,0.2770283201327477,0.5393547672644555,0.2638148836823312,0.8454504378759748,1.1240225220904203,1.5515722703156831,1.7954032278112626,2.189047346705663,2.3876864759869774,2.7242356447744878,0.6374750763899797
ecb,hicp,hicp_yoy,2000,4,2000,2000,current_year,0.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5T3_9|F4_0,66,2.262305156089076,2.25,0.2113775239628649,0.14065735133081084,0.25389948428476705,0.3069030699683352,1.8341444559697395,2.021061078911263,2.099328598954631,2.2297744656935783,2.3602203324325255,2.681630657895745,2.804749860820435,0.2608917334778944
ecb,hicp,hicp_yoy,2000,4,2001,2001,next_year,1.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5T3_9|F4_0,67,2.026237926599143,2.0250000000000004,0.3842184005382598,0.22848287436270578,0.4470214795613547,0.2612465259851746,1.2705431604406752,1.5335064686344746,1.6996689924469413,2.064101983233189,2.2958347745641374,2.6311235437504776,2.80538077423164,0.5961657821171962
ecb,hicp,hicp_yoy,2000,4,2002,2002,year_after_next,2.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5T3_9|F4_0,61,1.8288210319229605,1.783,0.45862917105553397,0.26993139279852796,0.5321688391490424,0.257281114871745,1.0346141129112998,1.1586411775725374,1.5486224128214283,1.7792828218698413,2.1786361369467255,2.5118851032034772,2.7662094254677045,0.6300137241252972
ecb,hicp,hicp_yoy,2000,4,,2001Sep,rolling_1y,1.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5T3_9|F4_0,63,1.8694128320132226,1.85,0.4242805672856048,0.30152348542668533,0.520509761714467,0.33557108476407044,1.0483925272894712,1.1882522627051253,1.5739273183667317,1.822673459624664,2.221030311730249,2.5465500915524006,2.7682007427133204,0.6471029933635173
ecb,hicp,hicp_yoy,2000,4,,2002Sep,rolling_2y,2.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5T3_9|F4_0,58,1.7823254257243928,1.75,0.48547394224102575,0.2866015736615085,0.5637600647618594,0.2584452321321337,0.8088640202410058,1.0921998600286122,1.5176810929707893,1.7517857254744946,2.1537229141432634,2.5147465659283292,2.7562315594935933,0.6360418211724741
ecb,hicp,hicp_yoy,2001,1,2001,2001,current_year,0.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,60,1.97992932455455,2.0,0.3823466466737481,0.24763683209233178,0.4555359029005131,0.29551889652614144,1.1605939606196274,1.5031554638543487,1.6770724529054495,2.05149007695227,2.274470565034807,2.537878401020694,2.742413809322281,0.5973981121293575
ecb,hicp,hicp_yoy,2001,1,2002,2002,next_year,1.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,56,1.7382293182526918,1.7165439096365,0.41974556746641456,0.29296592053058135,0.5118743713061177,0.3275725005642799,0.8727160918744226,1.0878809896536272,1.3689467842965568,1.7313370051386814,2.120345136640798,2.3465211823165526,2.6044409748491932,0.7513983523442413
ecb,hicp,hicp_yoy,2001,1,2005,2005,longer_term,4.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,43,1.8203488372093024,1.75,0.46666154759097095,0.27509547119577465,0.5417107330231009,0.2578885146223185,1.0252319109461967,1.1316017316017315,1.5237405906195716,1.7727272727272727,2.1883512544802866,2.555897435897436,2.776410256410256,0.664610663860715
ecb,hicp,hicp_yoy,2001,1,,2001Dec,rolling_1y,1.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,55,1.7094002035730789,1.7,0.40155817877521466,0.3371018617599969,0.5242963247471064,0.41339828955092045,0.753790263425614,1.0625140649167677,1.3670495706404395,1.7210745979169464,2.093918136718593,2.3256258735298045,2.5174551651635215,0.7268685660781533
ecb,hicp,hicp_yoy,2001,1,,2002Dec,rolling_2y,2.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,53,1.7204970341868098,1.7000000000000002,0.45071997104284606,0.28991903603466646,0.5359118768530272,0.2926622452226795,0.8344962841711099,1.0713485131677252,1.3241405614386155,1.713874859949424,2.1128414694172886,2.3492098375077606,2.633419316661666,0.7887009079786731
ecb,hicp,hicp_yoy,2001,1,,2005Dec,longer_term,5.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,33,1.8510937516399129,1.8,0.49338717787701963,0.30114095169635985,0.5780283557768071,0.27141968974537073,0.8750051941703592,1.1189040518569038,1.5400605934690401,1.8017075057379535,2.231952864072032,2.6352580125896763,2.8184362743021927,0.6918922706029917
ecb,hicp,hicp_yoy,2001,2,2001,2001,current_year,0.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,61,2.2362081213050202,2.25,0.3215173940643572,0.1733395271180558,0.3652670616787755,0.22520301100275034,1.5875217626123999,1.709985343141099,2.0498289541091417,2.2218429024266655,2.3938568507441893,2.7578266494529364,2.8492080527508294,0.3440278966350476
ecb,hicp,hicp_yoy,2001,2,2002,2002,next_year,1.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,60,1.8354137309173806,1.85,0.4065400026017095,0.28769679812228954,0.4980403812596077,0.3336882721728451,1.056309904894577,1.1988687458302616,1.5696500829272488,1.788794697001687,2.1678701325788325,2.372361906994558,2.7125843461781676,0.5982200496515837
ecb,hicp,hicp_yoy,2001,2,2005,2005,longer_term,4.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,41,1.782086585365854,1.75,0.5180377410561284,0.33580393629028354,0.6173551528792687,0.29587032611469766,0.7227946916471506,1.0516074450084603,1.3984771573604058,1.745553353750075,2.1649288690283446,2.5917474149704107,2.858379397801912,0.7664517116679388
ecb,hicp,hicp_yoy,2001,2,,2002Mar,rolling_1y,1.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,54,1.8179346383226997,1.8375,0.40872975030706266,0.28387800655618045,0.49764116730068125,0.32540999896592593,1.0268097235888642,1.1620700784679117,1.5578712132079224,1.791044508634498,2.1755639700856317,2.373298086088418,2.6724941196348855,0.6176927568777093
ecb,hicp,hicp_yoy,2001,2,,2003Mar,rolling_2y,2.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,46,1.826493459441303,1.7875,0.4957686320003774,0.3123896694230687,0.5859810935838969,0.28420133864337016,1.0038623980898274,1.1207291229607472,1.530212618271533,1.77771608930535,2.187205345205128,2.5422645907454484,2.8815584677366384,0.6569927269335951
ecb,hicp,hicp_yoy,2001,3,2001,2001,current_year,0.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,49,2.616325554787755,2.6750000000000003,0.30340112432966587,0.18181013186964448,0.35370491415156063,0.2642128746847685,2.040890273710931,2.12497227915077,2.377218295470287,2.6553553704467183,2.8196116665691036,3.088325805945222,3.2480584229171297,0.4423933710988166
ecb,hicp,hicp_yoy,2001,3,2002,2002,next_year,1.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,47,1.9089730143109285,1.9000000000000001,0.4113288625118199,0.20640204939746365,0.4602099946010958,0.2011480922163658,1.1093334860094886,1.3066083374357738,1.620954690522304,1.8603180932866752,2.2285729412842397,2.3929707390401314,2.718740792848792,0.6076182507619357
ecb,hicp,hicp_yoy,2001,3,2003,2003,year_after_next,2.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,40,1.8119801387439138,1.8125000000000002,0.48281840719572333,0.24125061134360737,0.5397364836665015,0.1997897918497321,0.8980038846578986,1.1309605058511116,1.543763309916116,1.7731213597605857,2.1671741867278222,2.3916646220259796,2.7611900648915357,0.6234108768117061
ecb,hicp,hicp_yoy,2001,3,2006,2006,longer_term,5.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,30,1.8038,1.8625000000000003,0.5681339777435129,0.2523804121040164,0.621668793716123,0.16481364169233007,0.7255033557046979,1.064569195969566,1.5145279283931492,1.7727257078922454,2.1893688534793974,2.5544080604534005,2.8566750629722915,0.6748409250862482
ecb,hicp,hicp_yoy,2001,3,,2002Jun,rolling_1y,1.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,43,1.8395424275290382,1.830157767086984,0.44759371641275164,0.2916847555595841,0.5342472569869059,0.2980868803805171,1.0208688897616547,1.1494203037164632,1.5505263947599361,1.7909580564211247,2.1979987449197687,2.549775024049938,2.7841270985067545,0.6474723501598325
ecb,hicp,hicp_yoy,2001,3,,2003Jun,rolling_2y,2.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,34,1.762855497294206,1.7375,0.5203405199232128,0.26611934955354855,0.5844431237346909,0.2073329848137648,0.7699636523163151,1.070101210969422,1.3764762342104733,1.7436829921125172,2.152711894683453,2.388818649427175,2.765001791636276,0.7762356604729799
ecb,hicp,hicp_yoy,2001,4,2001,2001,current_year,0.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,53,2.570616037735849,2.6500000000000004,0.23751772237750193,0.23614355391403852,0.33493050995474943,0.4970988616416074,1.8900837300935804,2.118497793548974,2.517621370023273,2.650109114906871,2.7825968597904693,2.8620895067206282,2.888587055697348,0.2649754897671963
ecb,hicp,hicp_yoy,2001,4,2002,2002,next_year,1.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,54,1.7572085978833334,1.7475,0.39250928786635153,0.24276497453224913,0.461517468706217,0.27669146845930315,1.0435373411521016,1.148468588684939,1.5248785143501342,1.731204577155699,2.0767250063915403,2.32980411994522,2.57150678419343,0.5518464920414061
ecb,hicp,hicp_yoy,2001,4,2003,2003,year_after_next,2.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,48,1.809376473980773,1.8000000000000003,0.46280239903741394,0.25026238587806,0.5261343196752752,0.22625485015137556,1.0251825044107579,1.1467225363006186,1.5419146964638355,1.770682126096351,2.159912193869408,2.3806232948308104,2.731200841151961,0.6179974974055724
