survey,variable,concept,year,quarter,horizon_quarter,target_year,target_quarter,n,mean_probability,median,disagreement,target_period,horizon_quarters,realized,source,error,brier_score
us,RECESS,fixed_weighted_real_gnp,1971,2,0,1971,2,57,3.8947368421052633,0.0,8.490928374545044,1971Q2,0,,,,
us,RECESS,fixed_weighted_real_gnp,1971,2,1,1971,3,57,18.0,10.0,16.402308199936808,1971Q3,1,,,,
us,RECESS,fixed_weighted_real_gnp,1971,2,2,1971,4,57,6.280701754385965,5.0,7.846187395264276,1971Q4,2,,,,
us,RECESS,fixed_weighted_real_gnp,1971,2,3,1972,1,57,4.56140350877193,0.0,7.636887791361387,1972Q1,3,,,,
us,RECESS,fixed_weighted_real_gnp,1971,2,4,1972,2,57,4.508771929824562,0.0,7.399620663582174,1972Q2,4,,,,
us,RECESS,fixed_weighted_real_gnp,1971,3,0,1971,3,96,11.697916666666666,5.0,17.12561626500315,1971Q3,0,,,,
us,RECESS,fixed_weighted_real_gnp,1971,3,1,1971,4,96,8.03125,5.0,15.524820958370944,1971Q4,1,,,,
us,RECESS,fixed_weighted_real_gnp,1971,3,2,1972,1,96,7.979166666666667,5.0,14.575378782956781,1972Q1,2,,,,
us,RECESS,fixed_weighted_real_gnp,1971,3,3,1972,2,96,8.572916666666666,4.0,15.28242526334824,1972Q2,3,,,,
us,RECESS,fixed_weighted_real_gnp,1971,3,4,1972,3,96,7.864583333333333,1.5,13.70103322394004,1972Q3,4,,,,
us,RECESS,fixed_weighted_real_gnp,1971,4,0,1971,4,75,3.6666666666666665,0.0,8.645156952811137,1971Q4,0,,,,
us,RECESS,fixed_weighted_real_gnp,1971,4,1,1972,1,75,5.026666666666666,0.0,8.82712853640402,1972Q1,1,,,,
us,RECESS,fixed_weighted_real_gnp,1971,4,2,1972,2,75,5.453333333333333,0.0,8.11287487508212,1972Q2,2,,,,
us,RECESS,fixed_weighted_real_gnp,1971,4,3,1972,3,75,6.093333333333334,2.0,9.033231939858473,1972Q3,3,,,,
us,RECESS,fixed_weighted_real_gnp,1971,4,4,1972,4,75,7.546666666666667,5.0,11.628591666411895,1972Q4,4,,,,
us,RECESS,fixed_weighted_real_gnp,1972,1,0,1972,1,66,3.893939393939394,0.0,9.079357462658464,1972Q1,0,,,,
us,RECESS,fixed_weighted_real_gnp,1972,1,1,1972,2,66,4.666666666666667,0.0,8.330358443360755,1972Q2,1,,,,
us,RECESS,fixed_weighted_real_gnp,1972,1,2,1972,3,66,5.0,0.5,7.408934315561698,1972Q3,2,,,,
us,RECESS,fixed_weighted_real_gnp,1972,1,3,1972,4,66,6.166666666666667,5.0,8.72764543687442,1972Q4,3,,,,
us,RECESS,fixed_weighted_real_gnp,1972,1,4,1973,1,66,9.045454545454545,5.0,12.032560720084378,1973Q1,4,,,,
us,RECESS,fixed_weighted_real_gnp,1972,2,0,1972,2,70,1.8285714285714285,0.0,6.4200127061399135,1972Q2,0,,,,
us,RECESS,fixed_weighted_real_gnp,1972,2,1,1972,3,70,3.0714285714285716,0.0,6.92259779623569,1972Q3,1,,,,
us,RECESS,fixed_weighted_real_gnp,1972,2,2,1972,4,70,4.628571428571429,0.0,7.768706136227312,1972Q4,2,,,,
us,RECESS,fixed_weighted_real_gnp,1972,2,3,1973,1,70,6.7,5.0,8.504644937165008,1973Q1,3,,,,
us,RECESS,fixed_weighted_real_gnp,1972,2,4,1973,2,70,8.457142857142857,5.0,9.518381475929877,1973Q2,4,,,,
us,RECESS,fixed_weighted_real_gnp,1972,3,0,1972,3,68,2.1029411764705883,0.0,5.709744762265603,1972Q3,0,,,,
us,RECESS,fixed_weighted_real_gnp,1972,3,1,1972,4,68,3.5294117647058822,0.0,8.89821479368117,1972Q4,1,,,,
us,RECESS,fixed_weighted_real_gnp,1972,3,2,1973,1,68,6.367647058823529,3.5,13.32924560546795,1973Q1,2,,,,
us,RECESS,fixed_weighted_real_gnp,1972,3,3,1973,2,68,7.25,5.0,9.844120906302932,1973Q2,3,,,,
us,RECESS,fixed_weighted_real_gnp,1972,3,4,1973,3,68,9.941176470588236,10.0,10.023676974433897,1973Q3,4,,,,
us,RECESS,fixed_weighted_real_gnp,1972,4,0,1972,4,62,1.0,0.0,3.3632536939452047,1972Q4,0,,,,
us,RECESS,fixed_weighted_real_gnp,1972,4,1,1973,1,62,2.161290322580645,0.0,4.077903464824713,1973Q1,1,,,,
us,RECESS,fixed_weighted_real_gnp,1972,4,2,1973,2,62,4.032258064516129,1.5,5.850508572360335,1973Q2,2,,,,
us,RECESS,fixed_weighted_real_gnp,1972,4,3,1973,3,62,8.919354838709678,5.0,11.048771739609457,1973Q3,3,,,,
us,RECESS,fixed_weighted_real_gnp,1972,4,4,1973,4,62,13.14516129032258,10.0,13.537860419123007,1973Q4,4,,,,
us,RECESS,fixed_weighted_real_gnp,1973,1,0,1973,1,65,2.0923076923076924,0.0,11.231544691352394,1973Q1,0,,,,
us,RECESS,fixed_weighted_real_gnp,1973,1,1,1973,2,65,3.4923076923076923,0.0,11.349728902218157,1973Q2,1,,,,
us,RECESS,fixed_weighted_real_gnp,1973,1,2,1973,3,65,6.246153846153846,3.0,11.8163429849705,1973Q3,2,,,,
us,RECESS,fixed_weighted_real_gnp,1973,1,3,1973,4,65,11.307692307692308,10.0,11.547352343885855,1973Q4,3,,,,
us,RECESS,fixed_weighted_real_gnp,1973,1,4,1974,1,65,16.107692307692307,15.0,11.727535809105259,1974Q1,4,,,,
us,RECESS,fixed_weighted_real_gnp,1973,2,0,1973,2,62,2.774193548387097,0.0,10.036685748512,1973Q2,0,,,,
us,RECESS,fixed_weighted_real_gnp,1973,2,1,1973,3,62,6.516129032258065,2.0,11.905009188839646,1973Q3,1,,,,
us,RECESS,fixed_weighted_real_gnp,1973,2,2,1973,4,62,13.53225806451613,10.0,15.703938883506298,1973Q4,2,,,,
us,RECESS,fixed_weighted_real_gnp,1973,2,3,1974,1,62,22.629032258064516,20.0,17.663738786015315,1974Q1,3,,,,
us,RECESS,fixed_weighted_real_gnp,1973,2,4,1974,2,62,27.451612903225808,25.0,19.342196646875145,1974Q2,4,,,,
us,RECESS,fixed_weighted_real_gnp,1973,3,0,1973,3,45,3.1555555555555554,0.0,8.772258845504117,1973Q3,0,,,,
us,RECESS,fixed_weighted_real_gnp,1973,3,1,1973,4,45,12.222222222222221,10.0,13.257740258719688,1973Q4,1,,,,
us,RECESS,fixed_weighted_real_gnp,1973,3,2,1974,1,45,26.133333333333333,25.0,19.16744398950755,1974Q1,2,,,,
us,RECESS,fixed_weighted_real_gnp,1973,3,3,1974,2,45,28.377777777777776,25.0,17.438579082139704,1974Q2,3,,,,
us,RECESS,fixed_weighted_real_gnp,1973,3,4,1974,3,45,24.77777777777778,20.0,18.245658124716698,1974Q3,4,,,,
us,RECESS,fixed_weighted_real_gnp,1973,4,0,1973,4,57,15.157894736842104,10.0,20.13063538994752,1973Q4,0,,,,
us,RECESS,fixed_weighted_real_gnp,1973,4,1,1974,1,57,47.35087719298246,50.0,25.912966437170695,1974Q1,1,,,,
us,RECESS,fixed_weighted_real_gnp,1973,4,2,1974,2,57,48.824561403508774,50.0,22.24468058966774,1974Q2,2,,,,
us,RECESS,fixed_weighted_real_gnp,1973,4,3,1974,3,57,30.31578947368421,30.0,18.963459124191644,1974Q3,3,,,,
us,RECESS,fixed_weighted_real_gnp,1973,4,4,1974,4,57,22.80701754385965,15.0,21.589050297125848,1974Q4,4,,,,
us,RECESS,fixed_weighted_real_gnp,1974,1,0,1974,1,63,70.82539682539682,80.0,23.116492982800413,1974Q1,0,,,,
us,RECESS,fixed_weighted_real_gnp,1974,1,1,1974,2,63,52.507936507936506,50.0,21.048234173021626,1974Q2,1,,,,
us,RECESS,fixed_weighted_real_gnp,1974,1,2,1974,3,63,30.158730158730158,25.0,18.38144782567322,1974Q3,2,,,,
us,RECESS,fixed_weighted_real_gnp,1974,1,3,1974,4,63,17.666666666666668,10.0,15.343381466896716,1974Q4,3,,,,
us,RECESS,fixed_weighted_real_gnp,1974,1,4,1975,1,63,12.666666666666666,10.0,14.564650090478127,1975Q1,4,,,,
us,RECESS,fixed_weighted_real_gnp,1974,2,0,1974,2,49,50.857142857142854,50.0,20.61956999228322,1974Q2,0,,,,
us,RECESS,fixed_weighted_real_gnp,1974,2,1,1974,3,49,30.244897959183675,25.0,17.846020345636468,1974Q3,1,,,,
us,RECESS,fixed_weighted_real_gnp,1974,2,2,1974,4,49,21.102040816326532,20.0,14.044935175415821,1974Q4,2,,,,
us,RECESS,fixed_weighted_real_gnp,1974,2,3,1975,1,49,16.714285714285715,12.0,12.551560327969852,1975Q1,3,,,,
us,RECESS,fixed_weighted_real_gnp,1974,2,4,1975,2,49,13.122448979591837,10.0,11.74314099992918,1975Q2,4,,,,
us,RECESS,fixed_weighted_real_gnp,1974,3,0,1974,3,54,45.629629629629626,45.0,17.215938530410682,1974Q3,0,,,,
us,RECESS,fixed_weighted_real_gnp,1974,3,1,1974,4,54,34.81481481481482,35.0,14.152903661105418,1974Q4,1,,,,
us,RECESS,fixed_weighted_real_gnp,1974,3,2,1975,1,54,23.833333333333332,20.0,13.27609569795021,1975Q1,2,,,,
us,RECESS,fixed_weighted_real_gnp,1974,3,3,1975,2,54,18.555555555555557,15.0,14.833245000090317,1975Q2,3,,,,
us,RECESS,fixed_weighted_real_gnp,1974,4,0,1974,4,53,88.49056603773585,97.0,14.977704766019896,1974Q4,0,,,,
us,RECESS,fixed_weighted_real_gnp,1974,4,1,1975,1,53,74.05660377358491,75.0,18.188558422112536,1975Q1,1,,,,
us,RECESS,fixed_weighted_real_gnp,1974,4,2,1975,2,53,48.905660377358494,50.0,19.483981735442416,1975Q2,2,,,,
us,RECESS,fixed_weighted_real_gnp,1974,4,3,1975,3,53,28.169811320754718,30.0,15.969605564533913,1975Q3,3,,,,
us,RECESS,fixed_weighted_real_gnp,1974,4,4,1975,4,53,17.92452830188679,15.0,14.690196962343725,1975Q4,4,,,,
us,RECESS,fixed_weighted_real_gnp,1975,1,0,1975,1,46,88.71739130434783,95.0,18.871098470622282,1975Q1,0,,,,
us,RECESS,fixed_weighted_real_gnp,1975,1,1,1975,2,46,60.5,60.0,20.03191897392204,1975Q2,1,,,,
us,RECESS,fixed_weighted_real_gnp,1975,1,2,1975,3,46,36.19565217391305,30.0,20.981070373307023,1975Q3,2,,,,
us,RECESS,fixed_weighted_real_gnp,1975,1,3,1975,4,46,22.282608695652176,20.0,18.00328740780202,1975Q4,3,,,,
us,RECESS,fixed_weighted_real_gnp,1975,1,4,1976,1,46,15.0,10.0,16.666666666666668,1976Q1,4,,,,
us,RECESS,fixed_weighted_real_gnp,1975,2,0,1975,2,46,61.891304347826086,60.0,22.24332934798862,1975Q2,0,,,,
us,RECESS,fixed_weighted_real_gnp,1975,2,1,1975,3,46,31.195652173913043,27.5,20.115908094195156,1975Q3,1,,,,
us,RECESS,fixed_weighted_real_gnp,1975,2,2,1975,4,46,17.804347826086957,10.0,16.16528456665001,1975Q4,2,,,,
us,RECESS,fixed_weighted_real_gnp,1975,2,3,1976,1,46,12.869565217391305,10.0,15.659727109375076,1976Q1,3,,,,
us,RECESS,fixed_weighted_real_gnp,1975,2,4,1976,2,46,11.130434782608695,5.0,16.093627028046672,1976Q2,4,,,,
us,RECESS,fixed_weighted_real_gnp,1975,3,0,1975,3,39,19.435897435897434,20.0,14.324794242657273,1975Q3,0,,,,
us,RECESS,fixed_weighted_real_gnp,1975,3,1,1975,4,39,10.820512820512821,10.0,9.12449506857285,1975Q4,1,,,,
us,RECESS,fixed_weighted_real_gnp,1975,3,2,1976,1,39,8.256410256410257,7.0,8.216536434846207,1976Q1,2,,,,
us,RECESS,fixed_weighted_real_gnp,1975,3,3,1976,2,39,8.58974358974359,5.0,8.502996217179314,1976Q2,3,,,,
us,RECESS,fixed_weighted_real_gnp,1975,3,4,1976,3,39,11.41025641025641,10.0,11.695068570978627,1976Q3,4,,,,
us,RECESS,fixed_weighted_real_gnp,1975,4,0,1975,4,47,10.063829787234043,3.0,19.356387840484786,1975Q4,0,,,,
